Timestamp,Latency,Latency Without Login
2023-07-26 11:42:37,20.09,12.07
2023-07-26 11:42:56,17.51,10.80
2023-07-26 11:57:04,15.33,8.25
2023-07-26 11:57:18,13.66,8.34
